dtmn,municipio,contratos,valor_eur,ajuste_direto_eur,pct_valor_ajuste_direto,pct_contratos_ajuste_direto
3101,Calheta,42,3790006.74,520716.12,13.7,54.8
3102,Câmara de Lobos,33,1445257.99,578361.73,40.0,48.5
3103,Funchal,57,5397363.57,328241.78,6.1,15.8
3104,Machico,105,5213121.62,1429759.37,27.4,64.8
3105,Ponta do Sol,33,859845.72,319217.41,37.1,69.7
3106,Porto Moniz,56,1404073.30,611361.77,43.5,64.3
3107,Ribeira Brava,67,3914474.30,730765.30,18.7,50.7
3108,Santa Cruz,97,9792646.58,406706.15,4.2,23.7
3109,Santana,34,2492806.04,481496.85,19.3,38.2
3110,São Vicente,32,1913587.97,400340.29,20.9,34.4
3201,Porto Santo,37,4533982.05,510902.50,11.3,29.7
